,us_delinquency_all,us_delinquency_consumer,us_delinquency_cc,us_delinquency_realestate
2020-09-30,1.59,1.82,1.99,1.93
2020-12-31,1.58,1.92,2.1,1.92
2021-03-31,1.47,1.69,1.88,1.84
2021-06-30,1.37,1.53,1.59,1.69
2021-09-30,1.29,1.52,1.53,1.56
2021-12-31,1.26,1.54,1.57,1.5
2022-03-31,1.24,1.65,1.69,1.4
2022-06-30,1.22,1.81,1.83,1.32
2022-09-30,1.2,1.92,2.05,1.21
2022-12-31,1.19,2.07,2.26,1.21
2023-03-31,1.21,2.23,2.47,1.23
2023-06-30,1.26,2.37,2.75,1.26
2023-09-30,1.34,2.52,2.94,1.38
2023-12-31,1.38,2.61,3.1,1.39
2024-03-31,1.43,2.68,3.17,1.45
2024-06-30,1.49,2.72,3.22,1.56
2024-09-30,1.52,2.73,3.2,1.6
2024-12-31,1.53,2.76,3.08,1.64
2025-03-31,1.55,2.77,3.06,1.68
2025-06-30,1.51,2.76,3.04,1.67
2025-09-30,1.49,2.71,2.98,1.67
2025-12-31,1.48,2.62,2.94,1.66
