,uk_house_price_idx,uk_cpi,uk_unemployment,uk_consumer_confidence,uk_real_gdp,uk_gdp_yoy_growth,uk_bond_yield_10y,uk_reer,uk_oil_price,uk_credit,uk_credit_qoq_growth,uk_credit_yoy_growth,uk_industrial_production,uk_ftse_close,uk_ftse_qoq_growth
1932-09-30,,,,,,,,,,,,,19.82,,
1932-12-31,,,,,,,,,,,,,22.77,,
1933-03-31,,,,,,,,,,,,,21.27,,
1933-06-30,,,,,,,,,,,,,23.59,,
1933-09-30,,,,,,,,,,,,,22.92,,
1933-12-31,,,,,,,,,,,,,24.39,,
1934-03-31,,,,,,,,,,,,,24.69,,
1934-06-30,,,,,,,,,,,,,26.97,,
1934-09-30,,,,,,,,,,,,,24.57,,
1934-12-31,,,,,,,,,,,,,26.57,,
1935-03-31,,,,,,,,,,,,,24.59,,
1935-06-30,,,,,,,,,,,,,29.04,,
1935-09-30,,,,,,,,,,,,,26.62,,
1935-12-31,,,,,,,,,,,,,29.52,,
1936-03-31,,,,,,,,,,,,,27.59,,
1936-06-30,,,,,,,,,,,,,31.49,,
1936-09-30,,,,,,,,,,,,,28.64,,
1936-12-31,,,,,,,,,,,,,30.44,,
1937-03-31,,,,,,,,,,,,,27.97,,
1937-06-30,,,,,,,,,,,,,34.11,,
1937-09-30,,,,,,,,,,,,,30.77,,
1937-12-31,,,,,,,,,,,,,30.94,,
1938-03-31,,,,,,,,,,,,,28.32,,
1938-06-30,,,,,,,,,,,,,27.67,,
1938-09-30,,,,,,,,,,,,,25.14,,
1938-12-31,,,,,,,,,,,,,26.97,,
1939-03-31,,,,,,,,,,,,,,,
1939-06-30,,,,,,,,,,,,,,,
1939-09-30,,,,,,,,,,,,,,,
1939-12-31,,,,,,,,,,,,,,,
1940-03-31,,,,,,,,,,,,,,,
1940-06-30,,,,,,,,,,,,,,,
1940-09-30,,,,,,,,,,,,,,,
1940-12-31,,,,,,,,,,,,,,,
1941-03-31,,,,,,,,,,,,,,,
1941-06-30,,,,,,,,,,,,,,,
1941-09-30,,,,,,,,,,,,,,,
1941-12-31,,,,,,,,,,,,,,,
1942-03-31,,,,,,,,,,,,,,,
1942-06-30,,,,,,,,,,,,,,,
1942-09-30,,,,,,,,,,,,,,,
1942-12-31,,,,,,,,,,,,,,,
1943-03-31,,,,,,,,,,,,,,,
1943-06-30,,,,,,,,,,,,,,,
1943-09-30,,,,,,,,,,,,,,,
1943-12-31,,,,,,,,,,,,,,,
1944-03-31,,,,,,,,,,,,,,,
1944-06-30,,,,,,,,,,,,,,,
1944-09-30,,,,,,,,,,,,,,,
1944-12-31,,,,,,,,,,,,,,,
1945-03-31,,,,,,,,,,,,,,,
1945-06-30,,,,,,,,,,,,,,,
1945-09-30,,,,,,,,,,,,,,,
1945-12-31,,,,,,,,,,,,,,,
1946-03-31,,,,,,,,,,,,,29.48,,
1946-06-30,,,,,,,,,,,,,29.21,,
1946-09-30,,,,,,,,,,,,,31.62,,
1946-12-31,,,,,,,,,,,,,32.91,,
1947-03-31,,,,,,,,,,,,,29.94,,
1947-06-30,,,,,,,,,,,,,33.98,,
1947-09-30,,,,,,,,,,,,,34.35,,
1947-12-31,,,,,,,,,,,,,35.75,,
1948-03-31,,,,,,,,,,,,,35.76,,
1948-06-30,,,,,,,,,,,,,36.61,,
1948-09-30,,,,,,,,,,,,,37.11,,
1948-12-31,,,,,,,,,,,,,38.29,,
1949-03-31,,,,,,,,,,,,,38.95,,
1949-06-30,,,,,,,,,,,,,38.74,,
1949-09-30,,,,,,,,,,,,,39.52,,
1949-12-31,,,,,,,,,,,,,40.85,,
1950-03-31,,,,,,,,,,,,,42.34,,
1950-06-30,,,,,,,,,,,,,42.72,,
1950-09-30,,,,,,,,,,,,,43.47,,
1950-12-31,,,,,,,,,,,,,43.8,,
1951-03-31,,,,,,,,,,,,,41.88,,
1951-06-30,,,,,,,,,,,,,45.47,,
