,us_credit_qoq_growth_L2,us_house_price_yoy_L6,us_indprod_yoy_L5,us_unemployment_L1,us_gdp_yoy_growth_L4,us_consumer_confidence_L5,us_cpi_L0,us_log_vix_L5,us_sp500_qoq_growth_L7,us_bond_yield_10y_d1_L6,us_oil_yoy_L2,us_reer_diff_L1,delinquency_rate
1993-03-31,0.7204080793014489,-2.3681279020095203,0.7336733229858172,7.366667,2.858936912248855,77.32448666666667,3.197115,2.960623096440423,-1.0820312204534277,-0.629999999999999,-1.8876404494382104,0.0,4.52
1993-06-30,0.8083499059587718,-0.6718143177983249,3.4616952793256273,7.133333,3.169835814511379,76.14094999999999,3.147353,2.7837759116303458,4.499402285989884,-0.5600000000000005,1.7754569190600478,0.0,4.21
1993-09-30,0.4979001390302384,-0.31823574205886995,2.563756841098086,7.066667,3.6653854414522735,84.92782,2.744263,2.5915163848462583,7.536227528043038,0.4500000000000002,4.874294510005139,0.0,3.87
1993-12-31,1.3746080987088185,-0.5830768570784572,2.1710235537090616,6.8,4.382645388993267,81.87932,2.724924,2.658859956911438,-3.2127344252171564,-0.28000000000000025,-13.827838827838823,0.0,3.38
1994-03-31,1.3655143608302334,0.0953312451753785,4.152288897664813,6.633333,3.319905807050993,89.51851666666668,2.515723,2.531313022602156,1.102334013752837,-0.8399999999999999,-14.246449839670172,0.0,3.17
1994-06-30,1.532231685378882,0.040084043572807815,3.8911814838072933,6.566667,2.806668207145946,93.89402,2.380952,2.528125768907977,2.3668282446777766,0.34999999999999964,-27.193432529502303,0.0,2.87
1994-09-30,1.3394015509312185,-1.0871629157527596,2.8411547715022856,6.2,2.286511740606612,88.72949,2.878195,2.421256622711544,4.286741068787259,-0.7899999999999991,-27.690802348336607,-1.1499999999999915,2.66
1994-12-31,1.6872674639682117,0.05197317625251774,2.833713227717971,6.0,2.6077107599381977,83.27804333333334,2.652641,2.5641798306825083,3.6629919638420105,-0.020000000000000462,2.922422954303938,-2.3800000000000097,2.52
1995-03-31,1.5378970462109676,0.1849688622271639,3.407732938414032,5.633333,3.430706936043171,90.41513666666667,2.840264,2.4561641809223462,-0.2523998969481966,-0.5999999999999996,-1.9230769230769162,1.3700000000000045,2.54
1995-06-30,1.9974603785044345,0.4655094662359138,4.013742016462052,5.466667,4.225610689832271,100.06278000000002,3.093249,3.017982882488811,1.8644693847788216,0.40999999999999925,25.229034531360117,-0.09999999999999432,2.51
1995-09-30,1.2466792885314604,1.5713848362665095,5.692891278467149,5.666667,4.337048254936149,99.20201000000002,2.641003,2.706048198431537,1.63859840308207,0.7100000000000009,29.76995940460081,-3.8000000000000114,2.51
1995-12-31,1.9450951736111888,1.472762264241556,6.156180732641192,5.666667,4.116167021429895,97.62395666666667,2.650924,2.658859956911438,-4.433491832385384,0.6199999999999992,-10.273618998451228,3.0,2.47
1996-03-31,1.6269705237511811,1.0421997346540035,6.925835091579047,5.566667,3.481405627292,100.20620666666666,2.739726,2.580216829592325,-0.3364964077817278,0.3600000000000003,-4.466230936819171,1.1400000000000006,2.43
