,us_house_price_idx,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_delinquency_rate,us_cpi,us_unemployment,us_sp500_close,us_sp500_log_ret,us_delinquency_rate_raw,delinquency_spline,covid_dummy,us_house_price_yoy,us_indprod_yoy,us_oil_yoy,us_reer_interp,us_reer_diff,us_bond_yield_10y_d1,us_house_price_yoy_L3,us_unemployment_L0,us_consumer_confidence_L2,us_credit_qoq_growth_L6,us_gdp_yoy_growth_L2,us_cpi_L0,us_bond_yield_10y_d1_L2,us_sp500_log_ret_L4,us_indprod_yoy_L3,us_reer_diff_L0,us_oil_yoy_L2,us_vix_log_ret_L0
1990-03-31,77.2043845162229,99.83383,10047.386,2.821006526483294,8.59,8.35,0.2400000000000002,,,20.34,-0.0711537602562903,7192.124,1.7858350865801451,8.094812184744548,62.5999,19.73,,,5.237315875613735,5.2,339.94000244140625,-0.0388314039836742,,,0,,,,88.26,,,,5.2,,,,5.237315875613735,,,,,,
1990-06-30,76.4490582714173,99.30061,10083.855,2.412704964193124,8.48,8.05,0.4299999999999997,,,17.05,-0.176439186890888,7303.613,1.5501540296023908,7.159417763700371,62.8382,15.5,-0.2413002961093231,,4.673650282030639,5.2,358.0199890136719,0.0518196814446125,,,0,,,,88.26,0.0,-0.10999999999999943,,5.2,,,,4.673650282030639,,,,0.0,,-0.2413002961093231
1990-09-30,75.6005698784759,97.94892,10090.569,1.7273622503686914,8.89,7.69,1.2000000000000002,,,39.53,0.8409096735790683,7384.432,1.1065619166842344,6.583452530270728,62.9523,29.11,0.6302417338323308,,6.169871794871806,5.9,306.04998779296875,-0.1568403726643556,,,0,,,,88.26,0.0,0.41000000000000014,,5.9,99.83383,,2.821006526483294,6.169871794871806,,,,0.0,,0.6302417338323308
1990-12-31,74.4160516992853,97.12974,9998.704,0.6030627340393391,8.08,6.82,1.2599999999999998,,,28.48,-0.3278577907648191,7458.077,0.9973008079700696,5.549709040752981,61.3352,26.38,-0.0984756104683633,,6.254948535233562,6.3,330.2200012207031,0.076010655288986,,,0,,,,88.26,0.0,-0.8100000000000005,,6.3,99.30061,,2.412704964193124,6.254948535233562,-0.10999999999999943,,,0.0,,-0.0984756104683633
1991-03-31,74.5810986520791,97.72814,9951.916,-0.9501973946258402,8.11,6.28,1.8299999999999992,,,19.63,-0.3721430782554055,7468.526,0.1401031391872198,3.843120613604545,60.3346,16.88,-0.4464766581213575,5.26,4.821150855365497,6.8,375.2200012207031,0.1277534211684422,5.26,5.26,0,-3.397845706020186,-3.61869587651098,-3.4906588003933203,88.26,0.0,0.02999999999999936,,6.8,97.94892,,1.7273622503686914,4.821150855365497,0.41000000000000014,-0.0388314039836742,,0.0,,-0.4464766581213575
1991-06-30,74.1845969590247,98.79828,10029.51,-0.5389307958117096,8.28,6.32,1.959999999999999,,,20.56,0.0462884322985946,7538.276,0.9339192231506032,3.2129714430378487,61.5581,19.55,0.1468457972635637,5.48,4.695919938414161,6.9,371.1600036621094,-0.0108792775171264,5.48,5.48,0,-2.96205259239829,-2.037136646180182,20.586510263929615,88.26,0.0,0.16999999999999993,,6.9,97.12974,,0.6030627340393391,4.695919938414161,-0.8100000000000005,0.0518196814446125,,0.0,,0.1468457972635637
1991-09-30,73.8102516891055,99.2256,10080.195,-0.1028088703421969,7.65,5.42,2.2300000000000004,,,22.25,0.078994568025285,7540.773,0.0331242846507651,2.117170284728753,62.2195,15.85,-0.2098057861080852,5.35,3.396226415094339,6.9,387.8599853515625,0.0440111656491235,5.35,5.35,0,-2.3681279020095203,-1.1640559598299127,-43.713635213761705,88.26,0.0,-0.629999999999999,,6.9,97.72814,1.7858350865801451,-0.9501973946258402,3.396226415094339,0.02999999999999936,-0.1568403726643556,,0.0,-3.4906588003933203,-0.2098057861080852
1991-12-31,73.9161140092293,99.07094,10115.329,1.1664011655910578,7.09,4.12,2.97,,,19.15,-0.1500392929855943,7581.419,0.5390163581372898,1.653804325163177,61.7852,19.31,0.1974535961171334,5.32,2.980625931445613,7.3,417.0899963378906,0.072657605068658,5.32,5.32,0,-0.6718143177983249,0.7336733229858172,-32.759831460674164,88.26,0.0,-0.5600000000000005,-3.397845706020186,7.3,98.79828,1.5501540296023908,-0.5389307958117096,2.980625931445613,0.16999999999999993,0.076010655288986,-3.61869587651098,0.0,20.586510263929615,0.1974535961171334
1992-03-31,74.343754939348,99.41719,10236.435,2.858936912248855,7.54,4.54,3.0,,,19.49,0.0175987978928144,7615.218,0.4458136399003942,1.9641358950882597,62.4232,16.18,-0.1768471848100773,5.27,3.189910979228472,7.4,403.6900024414063,-0.0326547543390598,5.27,5.27,0,-0.31823574205886995,3.4616952793256273,-0.713194090677538,88.26,0.0,0.4500000000000002,-2.96205259239829,7.4,99.2256,1.1065619166842344,-0.1028088703421969,3.189910979228472,-0.629999999999999,0.1277534211684422,-2.037136646180182,0.0,-43.713635213761705,-0.1768471848100773
1992-06-30,73.7520437426397,99.69656,10347.429,3.169835814511379,7.26,4.05,3.21,,,21.84,0.113841637357235,7656.355,0.5401946470869223,1.566392634071767,63.1363,13.35,-0.1922595267840871,5.1,3.0147058823529305,7.8,408.1400146484375,0.0109630259612968,5.1,5.1,0,-0.5830768570784572,2.563756841098086,6.22568093385214,88.26,0.0,-0.28000000000000025,-2.3681279020095203,7.8,99.07094,0.9973008079700696,1.1664011655910578,3.0147058823529305,-0.5600000000000005,-0.0108792775171264,-1.1640559598299127,0.0,-32.759831460674164,-0.1922595267840871
