,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_mom_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_sp500_close,us_sp500_log_ret,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_delinquency_rate
1929-02-28,,,,,,,,,,,,,7.4858,,,,,,,,,
1929-03-31,,,,,,,,,,,,,7.5128,,,,,,,,,
1929-04-30,,,,,,,,,,,,,7.6474,,,,,,,,,
1929-05-31,,,,,,,,,,,,,7.7821,,,,,,,,,
1929-06-30,,,,,,,,,,,,,7.8359,,,,,,,,,
1929-07-31,,,,,,,,,,,,,7.9436,,,,,,,,,
1929-08-31,,,,,,,,,,,,,7.8628,,,,,,,,,
1929-09-30,,,,,,,,,,,,,7.809,,,,,,,,,
1929-10-31,,,,,,,,,,,,,7.6743,,,,,,,,,
1929-11-30,,,,,,,,,,,,,7.2974,,,,,,,,,
1929-12-31,,,,,,,,,,,,,6.9742,,,,,,,,,
1930-01-31,,,,,,,,,,,,,6.9742,,,,,,,,,
1930-02-28,,,,,,,,,,,,,6.9473,,,,,,,,,
1930-03-31,,,,,,,,,,,,,6.8396,,,,,,,,,
1930-04-30,,,,,,,,,,,,,6.7857,,,,,,,,,
1930-05-31,,,,,,,,,,,,,6.678,,,,,,,,,
1930-06-30,,,,,,,,,,,,,6.4895,,,,,,,,,
1930-07-31,,,,,,,,,,,,,6.1933,,,,,,,,,
1930-08-31,,,,,,,,,,,,,6.0587,,,,,,,,,
1930-09-30,,,,,,,,,,,,,5.951,,,,,,,,,
1930-10-31,,,,,,,,,,,,,5.7894,,,,,,,,,
1930-11-30,,,,,,,,,,,,,5.6548,,,,,,,,,
1930-12-31,,,,,,,,,,,,,5.5201,,,,,,,,,
1931-01-31,,,,,,,,,,,,,5.4932,,,,,,,,,
1931-02-28,,,,,,,,,,,,,5.5201,,,,,,,,,
1931-03-31,,,,,,,,,,,,,5.6279,,,,,,,,,
1931-04-30,,,,,,,,,,,,,5.6548,,,,,,,,,
1931-05-31,,,,,,,,,,,,,5.574,,,,,,,,,
1931-06-30,,,,,,,,,,,,,5.4394,,,,,,,,,
1931-07-31,,,,,,,,,,,,,5.3586,,,,,,,,,
1931-08-31,,,,,,,,,,,,,5.1701,,,,,,,,,
1931-09-30,,,,,,,,,,,,,4.9277,,,,,,,,,
1931-10-31,,,,,,,,,,,,,4.7392,,,,,,,,,
1931-11-30,,,,,,,,,,,,,4.6854,,,,,,,,,
1931-12-31,,,,,,,,,,,,,4.6585,,,,,,,,,
1932-01-31,,,,,,,,,,,,,4.5238,,,,,,,,,
1932-02-29,,,,,,,,,,,,,4.4161,,,,,,,,,
1932-03-31,,,,,,,,,,,,,4.3623,,,,,,,,,
1932-04-30,,,,,,,,,,,,,4.0661,,,,,,,,,
1932-05-31,,,,,,,,,,,,,3.9314,,,,,,,,,
1932-06-30,,,,,,,,,,,,,3.7968,,,,,,,,,
1932-07-31,,,,,,,,,,,,,3.6891,,,,,,,,,
