,us_house_price_idx,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_delinquency_rate,us_cpi,us_unemployment,us_sp500_close,us_sp500_log_ret
2022-03-31,0.006889345701092275,0.0,0.0061892163358751445,-0.03748923495511673,-0.056554621848739495,0.0,1.911061049500134,0.0,0.0,0.009248545595313231,0.008578526379883203,5.9720216899146736e-06,-0.1459006083933146,-0.03369786535662309,0.004043459847177371,17.888067502902466,-0.003016151718058924,2.771311942604996e-05,-0.024519230299590678,0.0008959339534186982,0.018921930618224517,0.018440652827616314
2022-06-30,0.006611001338086382,0.0,0.0061892163358751445,0.05850947971844015,-0.056554621848739495,0.0,2.0122639362398167,0.0,0.0,0.009248545595313231,0.008578526379883203,-2.9833994399836664e-06,0.3289446273397679,-0.03369786535662309,0.004059601972184447,18.010831141457405,-0.003016151718058924,1.4405865249135004e-05,-0.024519230299590678,-0.0003849893352145834,0.018921930618224517,0.018440652827616314
2022-09-30,0.006372002273662758,0.0,0.0061892163358751445,0.10567612881470381,-0.056554621848739495,0.0,2.0846127718746494,0.0,0.0,0.009248545595313231,0.008578526379883203,1.4903951594023805e-06,-0.14250421988803097,-0.03369786535662309,0.004070060701276459,18.11357074909597,-0.003016151718058924,7.488473252894119e-06,-0.024519230299590678,0.00016543271706960356,0.018921930618224517,0.018440652827616314
2022-12-31,0.006166786862872643,0.0,0.0061892163358751445,0.10882490520893405,-0.056554621848739495,0.0,2.1251497771877506,0.0,0.0,0.009248545595313231,0.008578526379883203,-7.445458698558341e-07,-0.07379132510128111,-0.03369786535662309,0.004077188778325019,18.200044930263008,-0.003016151718058924,3.892666680515964e-06,-0.024519230299590678,-7.108764158824627e-05,0.018921930618224517,0.018440652827616314
2023-03-31,0.005990579625713295,0.0,0.0061892163358751445,0.012061844380530266,-0.056554621848739495,0.0,2.137432385776161,0.0,0.0,0.009248545595313231,0.008578526379883203,3.719473649804819e-07,-0.14799610100396818,-0.03369786535662309,0.004081953254022855,18.272824243288056,-0.003016151718058924,2.0234904197251354e-06,-0.024519230299590678,3.054687655557751e-05,0.018921930618224517,0.018440652827616314
2023-06-30,0.0058392801189765114,0.0,0.0061892163358751445,-0.0294809349684572,-0.056554621848739495,0.0,2.1225640550177713,0.0,0.0,0.009248545595313231,0.008578526379883203,-1.8581103987953276e-07,0.3212009663780459,-0.03369786535662309,0.004085161565394905,18.333953278363236,-0.003016151718058924,1.0518530906367474e-06,-0.024519230299590678,-1.3126214999598085e-05,0.018921930618224517,0.018440652827616314
2023-09-30,0.005709367516589513,0.0,0.0061892163358751445,-0.05166811846919512,-0.056554621848739495,0.0,2.0832300287797128,0.0,0.0,0.009248545595313231,0.008578526379883203,9.282426975366545e-08,-0.13602391545837356,-0.03369786535662309,0.004087315871580946,18.385312552200183,-0.003016151718058924,5.467754695040102e-07,-0.024519230299590678,5.64043004207624e-06,0.018921930618224517,0.018440652827616314
2023-12-31,0.005597818677978137,0.0,0.0061892163358751445,0.0001889001705844759,-0.056554621848739495,0.0,2.023292585012143,0.0,0.0,0.009248545595313231,0.008578526379883203,-4.637154531231031e-08,-0.0767893317055832,-0.03369786535662309,0.004088764003364378,18.428482993299614,-0.003016151718058924,2.8422544622685945e-07,-0.024519230299590678,-2.423733807539364e-06,0.018921930618224517,0.018440652827616314
2024-03-31,0.005502037797856286,0.0,0.0061892163358751445,0.005419358544958169,-0.056554621848739495,0.0,1.9462513769224572,0.0,0.0,0.009248545595313231,0.008578526379883203,2.3165495622622296e-08,-0.14428155087260597,-0.03369786535662309,0.004089737040288041,18.464768049732925,-0.003016151718058924,1.4774639461448056e-07,-0.024519230299590678,1.0414960430298798e-06,0.018921930618224517,0.018440652827616314
2024-06-30,0.005419796000351987,0.0,0.0061892163358751445,-0.0021964452834474157,-0.056554621848739495,0.0,1.8564536540524175,0.0,0.0,0.009248545595313231,0.008578526379883203,-1.157261816114785e-08,0.3150793699212646,-0.03369786535662309,0.004090390951936504,18.495261660264823,-0.003016151718058924,7.680169883225241e-08,-0.024519230299590678,-4.4753842368033246e-07,0.018921930618224517,0.018440652827616314
