date,us_credit_qoq_growth,us_sp500_log_ret,us_vix_log_ret,us_bond_yield_10y,us_oil_yoy,us_reer_diff,us_gdp_yoy_growth,us_cpi,us_unemployment,us_consumer_confidence,us_house_price_yoy,us_indprod_yoy
1945-06-30,,,,,,,,,,,,-8.766292487068494
1945-09-30,,,,,,,,,,,,-27.62522423071616
1945-12-31,,,,,,,,,,,,-27.036017782078815
1946-03-31,,,,,,,,,,,,-26.246113606080044
1946-06-30,,,,,,,,,,,,-20.64057409818083
1946-09-30,,,,,,,,,,,,8.705599535789776
1946-12-31,,,,,,,,,,,,12.053715754134387
1947-03-31,,,,,,,,,,,,15.765569848943617
1947-06-30,,,,,,,,,,,,14.798038252412615
1947-09-30,,,,,,,,,,,,5.954841120355048
1947-12-31,,,,,,,,,,,,5.577913239036514
1948-03-31,,,,,,,,6.818181818181812,4.0,,,2.7238506722925937
1948-06-30,,,,,,,,9.375,3.6,,,6.445248750625598
1948-09-30,,,,,,,,6.654991243432562,3.8,,,4.457127229283309
1948-12-31,,,,,,,,2.733874412644166,4.0,,,0.18848622438971674
1949-03-31,,,,,,,,1.744680851063829,5.0,,,-3.2192267385020124
1949-06-30,,,,,,,,-0.952380952380938,6.2,,,-8.256618173145714
1949-09-30,,,,,,,,-2.504105090311981,6.6,,,-5.56569908846003
1949-12-31,,,,,,,,-1.8295218295218296,6.6,,,-3.5779976920656154
1950-03-31,,,,,,,,-1.129234629861986,6.3,,,5.675145348837218
1950-06-30,,0.022871185715035432,,,,,,-0.1672240802675695,5.4,,,17.599786093079217
1950-09-30,,0.0948475709286368,,,,,,2.4842105263158,4.4,,,22.20033415778375
1950-12-31,,0.04915731447702729,,,,,,5.80262600592969,4.3,,,24.218642334389905
1951-03-31,,0.050117824562345294,,,,,,9.475465313028764,3.4,,,19.443775832307498
1951-06-30,,-0.024506432556405035,,,,,,8.584589614740379,3.2,,,9.013225207472807
1951-09-30,,0.10411934115756549,,,,,,6.943303204601481,3.3,,,1.125447044283523
1951-12-31,,0.02168914369947869,,,,,,5.964771817453962,3.1,,,0.15707203709001138
1952-03-31,,0.024928601444121394,,,,,,1.9706336939721905,2.9,,,0.7755553252495773
1952-06-30,,0.023921604747178363,,,,,,2.313922097956045,3.0,,,-1.40378320442629
1952-09-30,,-0.016970030231127406,,,,,,2.3050326546292688,3.1,,,9.062193725128997
1952-12-31,,0.07947827169567716,,,,,,0.9066868152625585,2.7,,,11.617345273074942
1953-03-31,,-0.04937365140296112,,,,,,0.9094353921940136,2.6,,,11.23071033942946
1953-06-30,,-0.046538906497474226,,3.11,,,,0.9046362608367886,2.5,,,15.031554453467466
1953-09-30,,-0.03327318993361967,,2.87,,,,0.9763424708974844,2.9,,,4.518657665802306
1953-12-31,,0.06064977572586845,,2.59,,,,0.5990265818045737,4.5,,,-4.78232482828862
1954-03-31,,0.08236541462837481,,2.37,,,,1.1265490048817162,5.7,,,-7.330778792517179
1954-06-30,,0.08089889425052418,,2.38,,,,0.635039223010847,5.6,,,-7.565270250251565
1954-09-30,,0.10086573728328996,,2.38,,,,-0.2975083674228385,6.1,,,-6.1366343813124775
1954-12-31,,0.10758639345966452,,2.51,,,,-0.372162262746567,5.0,,,3.545274521527819
1955-03-31,,0.01653847721922689,,2.68,,,,-0.519866320089124,4.6,102.111,,10.89549591495118
1955-06-30,,0.11480178368372886,,2.78,,,,-0.8537490720118779,4.2,102.4746,,13.839505285902941
1955-09-30,,0.06235784886550241,,2.97,,,,0.1491980604252152,4.1,102.432,,15.155996512564695
1955-12-31,,0.04061133324905171,,2.96,,,,0.3735524841240289,4.2,102.0563,,13.12393384261663
1956-03-31,,0.06387867350156806,,2.96,,,,0.3732736095558131,4.2,101.082,,6.460706449210529
1956-06-30,,-0.031642206290839976,,3.0,,,,1.647323099962561,4.3,100.3107,,2.3529583098701012
1956-09-30,,-0.03509898311347753,,3.38,,,,1.862197392923659,3.9,100.4138,,4.258031127808026
1956-12-31,,0.028691377813218285,,3.59,,,,2.828433196873825,4.2,100.6128,,3.4050624019481557
1957-03-31,,-0.056414992773757694,,3.41,,,,3.607288955001864,3.7,100.0717,,4.171889744925994
1957-06-30,,0.07130256643343036,,3.8,,,,3.53591160220994,4.3,99.27724,,3.70370370370372
1957-09-30,,-0.11036918841566819,,3.92,,,,3.546617915904937,4.4,98.08708,,0.24773180619006574
1957-12-31,,-0.058990441140755134,,3.21,,,,3.040173724212813,5.2,96.80795,,-6.829524560021005
1958-03-31,,0.051418239613291235,,2.98,,,,3.625269203158665,6.7,96.85222,,-12.014440042725226
1958-06-30,,0.07193398390512667,,2.97,,,,2.8459622909996485,7.3,98.39122,,-8.990542048552042
1958-09-30,,0.1012406250872216,,3.76,,,,2.083333333333326,7.1,100.3541,,-4.691146332405671
1958-12-31,,0.09792176627678836,,3.86,,,,1.7562346329469625,6.2,102.0508,,5.366847165647504
1959-03-31,,0.004157250397568954,,3.99,,,,0.3463803255975062,5.6,103.1289,,16.551671148674597
1959-06-30,,0.053212492954119436,,4.34,,,,0.6918021445866396,5.0,102.8516,,18.674432394946592
1959-09-30,,-0.027570018791622936,,4.68,,,,1.1760636457972984,5.5,101.6909,,6.994386211342074
1959-12-31,,0.05156573181177857,,4.69,,,,1.5188125647221271,5.3,100.9852,,8.819608150687142
1960-03-31,,-0.0790135589691009,,4.25,,,,1.5188125647221271,5.4,100.1108,,4.496831298508397
1960-06-30,,0.0281507639366751,,4.15,,,,1.7176228100309163,5.4,99.26256,,-1.4825008998327394
1960-09-30,,-0.061591316679629464,,3.8,,,,1.2307692307692353,5.5,98.5972,,3.026692623448324
1960-12-31,,0.0822823522172909,,3.84,,,,1.3600816048962905,6.6,98.26809,,-6.1644445386523135
1961-03-31,,0.11297210692935074,,3.74,,,,1.4620877252635056,6.9,98.9643,,-6.3418429574799156
1961-06-30,,-0.006476478749227508,,3.88,,,,0.7767646065518496,6.9,100.2523,,0.578541525183307
1961-09-30,,0.03182127245120706,,3.98,,,,1.249577845322536,6.7,101.1057,,4.11297255545422
1961-12-31,,0.06974187143283285,,4.06,,,,0.6709158000671067,6.0,101.2562,,12.530721411016344
1962-03-31,,-0.02835058640649182,,3.93,,,,1.1058981233244003,5.6,100.6416,,13.300941663560707
1962-06-30,,-0.2392685935514577,,3.91,,,,1.2399463806970434,5.5,99.69392,,7.710256410256422
1962-09-30,,0.027384172883705624,,3.98,,,,1.4676450967311627,5.6,99.39292,,7.449136131579603
1962-12-31,,0.114559203784935,,3.86,,,,1.2329223592135952,5.5,99.78664,,3.4591295969166547
